系列,年,地域,施設タイプ,客室稼働率
全施設,2012,福岡県,ビジネスホテル,67.1
全施設,2012,福岡県,リゾートホテル,16.4
全施設,2012,福岡県,会社・団体の宿泊所,39.2
全施設,2012,福岡県,全体,55.0
全施設,2012,福岡県,旅館,29.2
全施設,2012,福島県,シティホテル,76.9
全施設,2012,福島県,ビジネスホテル,76.4
全施設,2012,福島県,リゾートホテル,36.5
全施設,2012,福島県,会社・団体の宿泊所,23.5
全施設,2012,福島県,全体,50.7
全施設,2012,福島県,旅館,35.2
全施設,2012,秋田県,シティホテル,63.4
全施設,2012,秋田県,ビジネスホテル,59.2
全施設,2012,秋田県,リゾートホテル,42.5
全施設,2012,秋田県,会社・団体の宿泊所,30.5
全施設,2012,秋田県,全体,44.4
全施設,2012,秋田県,旅館,31.1
全施設,2012,群馬県,シティホテル,53.8
全施設,2012,群馬県,ビジネスホテル,58.9
全施設,2012,群馬県,リゾートホテル,44.3
全施設,2012,群馬県,会社・団体の宿泊所,35.3
全施設,2012,群馬県,全体,45.7
全施設,2012,群馬県,旅館,41.4
全施設,2012,茨城県,シティホテル,59.8
全施設,2012,茨城県,ビジネスホテル,62.8
全施設,2012,茨城県,リゾートホテル,44.3
全施設,2012,茨城県,会社・団体の宿泊所,49.1
全施設,2012,茨城県,全体,50.0
全施設,2012,茨城県,旅館,28.2
全施設,2012,長崎県,シティホテル,62.4
全施設,2012,長崎県,ビジネスホテル,62.4
全施設,2012,長崎県,リゾートホテル,48.2
全施設,2012,長崎県,会社・団体の宿泊所,41.4
全施設,2012,長崎県,全体,49.0
全施設,2012,長崎県,旅館,33.6
全施設,2012,長野県,シティホテル,68.8
全施設,2012,長野県,ビジネスホテル,61.1
全施設,2012,長野県,リゾートホテル,38.3
全施設,2012,長野県,会社・団体の宿泊所,23.2
全施設,2012,長野県,全体,35.1
全施設,2012,長野県,旅館,26.2
全施設,2012,青森県,シティホテル,41.6
全施設,2012,青森県,ビジネスホテル,60.5
全施設,2012,青森県,リゾートホテル,40.5
全施設,2012,青森県,会社・団体の宿泊所,11.9
全施設,2012,青森県,全体,49.5
全施設,2012,青森県,旅館,37.3
全施設,2012,静岡県,シティホテル,63.4
全施設,2012,静岡県,ビジネスホテル,62.2
全施設,2012,静岡県,リゾートホテル,48.7
全施設,2012,静岡県,会社・団体の宿泊所,34.0
全施設,2012,静岡県,全体,49.4
全施設,2012,静岡県,旅館,38.2
全施設,2012,香川県,シティホテル,62.1
全施設,2012,香川県,ビジネスホテル,57.8
全施設,2012,香川県,リゾートホテル,51.6
全施設,2012,香川県,会社・団体の宿泊所,50.5
全施設,2012,香川県,全体,52.9
全施設,2012,香川県,旅館,40.4
全施設,2012,高知県,シティホテル,61.5
全施設,2012,高知県,ビジネスホテル,55.5
全施設,2012,高知県,リゾートホテル,43.2
全施設,2012,高知県,会社・団体の宿泊所,0.0
全施設,2012,高知県,全体,46.6
全施設,2012,高知県,旅館,28.6
全施設,2012,鳥取県,シティホテル,64.1
全施設,2012,鳥取県,ビジネスホテル,54.6
全施設,2012,鳥取県,リゾートホテル,38.2
全施設,2012,鳥取県,会社・団体の宿泊所,0.0
全施設,2012,鳥取県,全体,44.1
全施設,2012,鳥取県,旅館,33.7
全施設,2012,鹿児島県,シティホテル,62.2
全施設,2012,鹿児島県,ビジネスホテル,59.0
全施設,2012,鹿児島県,リゾートホテル,39.5
全施設,2012,鹿児島県,会社・団体の宿泊所,26.4
全施設,2012,鹿児島県,全体,47.8
全施設,2012,鹿児島県,旅館,39.0
全施設,2013,三重県,シティホテル,68.3
全施設,2013,三重県,ビジネスホテル,67.6
全施設,2013,三重県,リゾートホテル,50.5
全施設,2013,三重県,会社・団体の宿泊所,22.4
全施設,2013,三重県,全体,46.6
